Date,"Total Users","Full Members",Guests,"Daily Active Users","Daily Users Posting Messages","Weekly Active Users","Weekly Users Posting Messages","Messages in Public Channels","Messages in Private Channels","Messages in Shared Channels","Messages in DMs","% of Messages Posted in Public Channels","% of Messages Posted in Private Channels","% of Messages Posted in DMs","% of Messages Read in Public Channels","% of Messages Read in Private Channels","% of Messages Read in DMs","Files Uploaded","Messages from Users",Name,"Public Workspace Channels","Messages Posted","Messages from Apps"
2017-11-02,338,338,0,183,134,211,181,390,1282,0,3433,0.0764,0.2511,0.6725,0.1862,0.5386,0.2752,33,5105,0,86,435228,0
2017-11-03,339,339,0,174,128,210,177,918,1000,0,3560,0.1676,0.1825,0.6499,0.3034,0.4103,0.2863,36,5478,0,87,440856,0
2017-11-04,339,339,0,152,86,211,178,274,266,0,1243,0.1537,0.1492,0.6971,0.2855,0.3234,0.3911,36,1783,0,89,442698,0
2017-11-05,341,341,0,122,60,211,180,183,29,0,385,0.3065,0.0486,0.6449,0.541,0.1111,0.3479,11,597,0,89,443310,0
2017-11-06,347,347,0,187,153,214,186,2003,1184,0,6004,0.2179,0.1288,0.6532,0.4784,0.2681,0.2534,88,9191,0,92,452661,0
2017-11-07,350,350,0,184,149,214,192,1782,1796,0,5682,0.1924,0.194,0.6136,0.3821,0.3822,0.2358,128,9260,0,92,462046,2
2017-11-08,351,351,0,189,148,214,189,1337,2962,0,5920,0.1308,0.2899,0.5793,0.2345,0.5523,0.2132,157,10219,0,93,472477,0
2017-11-09,355,355,0,195,154,218,193,618,2577,0,6023,0.067,0.2796,0.6534,0.1175,0.5939,0.2886,128,9218,0,95,481878,0
2017-11-10,357,357,0,180,143,218,191,735,1792,0,4273,0.1081,0.2635,0.6284,0.1404,0.5657,0.2939,73,6800,0,98,488791,0
2017-11-11,370,370,0,184,113,231,201,96,222,0,1060,0.0697,0.1611,0.7692,0.2058,0.368,0.4262,36,1378,0,98,490243,0
2017-11-12,370,370,0,138,58,231,203,71,130,0,384,0.1214,0.2222,0.6564,0.39,0.2948,0.3152,15,585,0,98,490843,0
2017-11-13,372,372,0,191,149,233,202,275,2456,0,4053,0.0405,0.362,0.5974,0.0751,0.6809,0.244,102,6784,0,98,497729,0
2017-11-14,374,374,0,197,156,236,204,443,2391,0,4213,0.0629,0.3393,0.5978,0.1077,0.6429,0.2494,82,7047,0,100,504963,0
2017-11-15,276,271,5,218,173,244,207,789,2687,0,5151,0.0915,0.3115,0.5971,0.1422,0.6001,0.2577,113,8627,0,103,513779,0
2017-11-16,278,273,5,201,146,239,203,482,2099,0,5044,0.0632,0.2753,0.6615,0.1366,0.5742,0.2892,101,7625,0,103,521515,0
2017-11-17,281,276,5,197,147,241,204,460,1506,0,3706,0.0811,0.2655,0.6534,0.1616,0.54,0.2983,86,5672,0,104,527281,0
2017-11-18,283,278,5,176,100,238,199,116,619,0,927,0.0698,0.3724,0.5578,0.1506,0.6462,0.2032,34,1662,0,104,528990,1
2017-11-19,283,278,5,124,45,238,195,68,7,0,114,0.3598,0.037,0.6032,0.7084,0.0926,0.199,9,189,0,104,529193,0
2017-11-20,287,282,5,152,64,239,192,189,105,0,504,0.2368,0.1316,0.6316,0.3993,0.2318,0.3689,22,798,0,104,530045,0
2017-11-21,287,284,3,156,70,240,193,56,121,0,913,0.0514,0.111,0.8376,0.2463,0.2209,0.5328,14,1090,0,104,531201,0
2017-11-22,290,285,5,168,70,238,187,134,79,0,957,0.1145,0.0675,0.8179,0.377,0.1035,0.5195,18,1170,0,104,532429,0
2017-11-23,290,285,5,132,59,234,176,157,61,0,335,0.2839,0.1103,0.6058,0.4991,0.1741,0.3267,14,553,0,104,533005,0
2017-11-24,291,286,5,138,41,231,159,41,8,0,562,0.0671,0.0131,0.9198,0.3108,0.0721,0.6171,6,611,0,104,533627,0
2017-11-25,291,286,5,123,41,221,133,132,17,0,100,0.5301,0.0683,0.4016,0.7378,0.1197,0.1425,4,249,0,104,533887,0
2017-11-26,291,286,5,131,50,217,136,160,16,0,511,0.2329,0.0233,0.7438,0.4995,0.0764,0.4241,7,687,0,105,534605,1
2017-11-27,293,288,5,202,155,228,190,413,1487,0,4117,0.0686,0.2471,0.6842,0.1275,0.5697,0.3027,50,6017,0,109,540735,0
2017-11-28,295,289,6,202,144,234,194,708,1233,0,2888,0.1466,0.2553,0.5981,0.1996,0.5589,0.2415,63,4829,0,110,545666,1
2017-11-29,298,292,6,213,144,236,189,681,1564,0,3539,0.1177,0.2704,0.6119,0.1584,0.5959,0.2456,79,5784,0,111,551524,6
2017-11-30,300,294,6,220,157,242,200,964,1835,0,3604,0.1506,0.2866,0.5629,0.2183,0.5495,0.2321,65,6403,0,111,558015,0
2017-12-01,304,298,6,213,159,247,212,727,1341,0,3462,0.1315,0.2425,0.626,0.256,0.4364,0.3076,102,5530,0,112,563706,0
2017-12-02,305,299,6,200,107,249,213,173,279,0,1799,0.0769,0.1239,0.7992,0.2374,0.3008,0.4618,23,2251,0,112,565976,0
2017-12-03,305,299,6,154,57,250,211,61,53,0,748,0.0708,0.0615,0.8677,0.3423,0.1188,0.5389,14,862,0,112,566849,2
2017-12-04,306,300,6,222,185,253,220,951,2759,0,4743,0.1125,0.3264,0.5611,0.1936,0.5746,0.2318,108,8453,0,112,575436,0
2017-12-05,308,302,6,220,175,257,222,576,2909,0,5361,0.0651,0.3288,0.606,0.1061,0.6376,0.2564,103,8846,0,112,584440,0
2017-12-06,311,305,6,224,178,260,228,581,3056,0,5272,0.0652,0.343,0.5918,0.1258,0.6161,0.2581,166,8909,0,113,593606,2
2017-12-07,316,310,6,223,170,260,223,362,3241,0,4708,0.0436,0.39,0.5665,0.0912,0.6807,0.2281,121,8311,0,113,602073,0
2017-12-08,318,312,6,214,163,259,220,314,2309,0,4242,0.0457,0.3363,0.6179,0.0959,0.6378,0.2663,114,6865,0,113,609095,0
2017-12-09,319,313,6,210,116,264,221,202,538,0,1819,0.0789,0.2102,0.7108,0.2314,0.4355,0.333,29,2559,0,116,611699,0
2017-12-10,320,314,6,163,64,264,220,59,128,0,890,0.0548,0.1188,0.8264,0.215,0.2562,0.5288,29,1077,0,116,612797,0
2017-12-11,321,315,6,219,165,258,215,288,3394,0,4244,0.0363,0.4282,0.5355,0.0597,0.7422,0.1981,96,7926,0,116,620812,0
2017-12-12,323,317,6,222,170,259,213,615,2772,0,4059,0.0826,0.3723,0.5451,0.1376,0.6557,0.2068,66,7446,0,117,628409,0
2017-12-13,327,321,6,238,189,261,214,830,4124,0,5357,0.0805,0.4,0.5195,0.2074,0.6088,0.1838,136,10311,0,118,638866,1
2017-12-14,335,329,6,237,174,268,218,800,2296,0,3974,0.1132,0.3248,0.5621,0.2082,0.5553,0.2365,90,7070,0,120,646092,1
2017-12-15,336,330,6,229,161,273,221,262,1755,0,4863,0.0381,0.2551,0.7068,0.1194,0.5269,0.3537,72,6880,0,120,653106,4
2017-12-16,338,332,6,208,90,273,225,75,219,0,1110,0.0534,0.156,0.7906,0.2426,0.3145,0.4429,16,1404,0,120,654522,0
2017-12-17,339,333,6,170,63,273,225,59,79,0,520,0.0897,0.1201,0.7903,0.3603,0.1705,0.4693,14,658,0,121,655212,0
2017-12-18,341,335,6,237,173,279,228,352,2146,0,4091,0.0534,0.3257,0.6209,0.1293,0.6148,0.2559,102,6589,0,121,661915,0
2017-12-19,345,339,6,231,180,284,232,765,1794,0,5326,0.097,0.2275,0.6755,0.1824,0.5069,0.3107,101,7885,0,122,669934,0
2017-12-20,360,354,6,247,183,285,231,733,1782,0,4182,0.1095,0.2661,0.6245,0.2245,0.5126,0.2629,106,6697,0,125,676767,0
2017-12-21,364,358,6,240,182,286,232,471,2059,0,3263,0.0813,0.3554,0.5633,0.1319,0.6381,0.23,71,5793,0,126,682734,0
2017-12-22,371,365,6,241,162,291,236,559,942,0,2868,0.1279,0.2156,0.6564,0.3262,0.3605,0.3133,61,4369,0,127,687260,2
2017-12-23,374,368,6,218,96,295,237,201,57,0,610,0.2316,0.0657,0.7028,0.466,0.1691,0.3649,9,868,0,128,688161,0
2017-12-24,368,368,0,146,39,295,237,61,16,0,176,0.2411,0.0632,0.6957,0.5713,0.1241,0.3046,0,253,0,128,688421,0
2017-12-25,369,369,0,165,53,289,232,37,28,0,189,0.1457,0.1102,0.7441,0.525,0.1943,0.2807,6,254,0,128,688686,0
2017-12-26,370,370,0,176,62,287,228,56,58,0,362,0.1176,0.1218,0.7605,0.3586,0.2505,0.391,2,476,0,128,689183,0
2017-12-27,373,373,0,187,77,283,218,100,127,0,849,0.0929,0.118,0.789,0.3141,0.188,0.498,18,1076,0,128,690292,0
2017-12-28,374,374,0,183,83,286,204,64,41,0,789,0.0716,0.0459,0.8826,0.3313,0.1337,0.535,7,894,0,128,691204,0
2017-12-29,379,379,0,172,56,284,166,80,26,0,501,0.1318,0.0428,0.8254,0.4205,0.1057,0.4739,6,607,0,128,691833,0
2017-12-30,384,384,0,159,56,278,155,149,17,0,415,0.2565,0.0293,0.7143,0.5498,0.069,0.3811,24,581,0,128,692450,0
2017-12-31,384,384,0,150,65,276,157,214,42,0,956,0.1766,0.0347,0.7888,0.3774,0.0488,0.5738,13,1212,0,128,693684,0
2018-01-01,385,385,0,181,62,279,159,36,68,0,579,0.0527,0.0996,0.8477,0.3337,0.1713,0.495,10,683,0,128,694394,0
2018-01-02,388,388,0,210,81,284,166,91,93,0,1124,0.0696,0.0711,0.8593,0.2816,0.1723,0.5461,9,1308,0,128,695769,0
2018-01-03,395,395,0,242,121,293,189,239,366,0,1665,0.1053,0.1612,0.7335,0.3112,0.307,0.3818,20,2270,0,130,698144,0
2018-01-04,398,398,0,264,185,301,225,1881,433,0,7893,0.1843,0.0424,0.7733,0.3311,0.0739,0.595,107,10207,0,142,708751,11
2018-01-05,406,406,0,282,201,314,244,3618,875,0,8605,0.2762,0.0668,0.657,0.6175,0.0594,0.323,166,13098,0,144,722301,112
2018-01-06,408,408,0,245,131,318,246,810,156,0,1655,0.309,0.0595,0.6314,0.66,0.0822,0.2577,36,2621,0,144,724983,0
2018-01-07,411,411,0,210,82,322,246,188,83,0,741,0.1858,0.082,0.7322,0.4592,0.1411,0.3997,13,1012,0,144,726056,0
2018-01-08,418,418,0,283,225,337,274,1270,3158,0,4529,0.1418,0.3526,0.5056,0.2871,0.5623,0.1506,86,8957,0,143,735167,1
2018-01-09,418,418,0,284,230,338,279,1523,3061,0,5950,0.1446,0.2906,0.5648,0.2736,0.5232,0.2032,136,10534,0,142,745783,0
2018-01-10,420,420,0,278,237,342,283,1777,2868,0,6056,0.1661,0.268,0.5659,0.2198,0.5561,0.2241,122,10701,0,138,756690,4
2018-01-11,422,422,0,284,233,341,282,991,2883,0,6188,0.0985,0.2865,0.615,0.1511,0.5973,0.2516,196,10062,0,141,762379,1
2018-01-12,424,424,0,275,214,332,276,998,2098,0,5946,0.1104,0.232,0.6576,0.2625,0.457,0.2805,118,9042,0,142,771526,1
2018-01-13,426,426,0,246,152,330,275,266,717,0,2191,0.0838,0.2259,0.6903,0.1648,0.5106,0.3246,40,3174,0,142,774815,0
2018-01-14,426,426,0,206,79,326,273,207,75,0,384,0.3108,0.1126,0.5766,0.508,0.238,0.254,14,666,0,142,775495,0
2018-01-15,429,429,0,253,142,327,273,262,249,0,1467,0.1325,0.1259,0.7417,0.4153,0.2349,0.3498,36,1978,0,142,777543,2
2018-01-16,431,431,0,286,222,330,276,585,3662,0,7304,0.0506,0.317,0.6323,0.125,0.6132,0.2618,137,11551,0,142,789310,0
2018-01-17,437,437,0,292,222,338,275,799,2758,0,5995,0.0836,0.2887,0.6276,0.1613,0.5634,0.2753,174,9552,0,142,799064,0
2018-01-18,436,436,0,295,232,337,279,1158,3099,0,7596,0.0977,0.2615,0.6409,0.1871,0.5189,0.2941,210,11853,0,145,811240,1
2018-01-19,440,440,0,274,221,336,280,611,2776,0,7652,0.0553,0.2515,0.6932,0.1084,0.5527,0.3389,174,11039,0,146,822473,0
2018-01-20,441,441,0,257,135,338,281,483,696,0,1827,0.1607,0.2315,0.6078,0.2335,0.4236,0.3429,92,3006,0,147,825631,0
2018-01-21,441,441,0,210,90,335,282,116,120,0,733,0.1197,0.1238,0.7564,0.3023,0.2509,0.4467,16,969,0,147,826627,0
2018-01-22,444,444,0,275,214,337,286,617,3717,0,5499,0.0627,0.378,0.5592,0.113,0.6813,0.2057,122,9833,0,147,836571,0
2018-01-23,449,449,0,289,220,338,285,615,3290,0,5967,0.0623,0.3333,0.6044,0.1423,0.5888,0.2689,130,9872,0,148,846641,0
2018-01-24,457,457,0,286,234,342,291,693,3493,0,7872,0.0575,0.2897,0.6528,0.134,0.5574,0.3086,152,12058,0,148,858904,8
2018-01-25,469,469,0,294,216,347,288,452,3127,0,7581,0.0405,0.2802,0.6793,0.103,0.548,0.3491,161,11160,0,147,870389,1
2018-01-26,472,472,0,285,205,351,286,419,2435,0,5752,0.0487,0.2829,0.6684,0.1089,0.5712,0.3198,108,8606,0,147,879346,0
2018-01-27,478,478,0,259,157,352,291,302,1107,0,2204,0.0836,0.3064,0.61,0.1867,0.5225,0.2908,26,3613,0,148,883134,0
2018-01-28,481,481,0,231,88,356,292,164,63,0,1241,0.1117,0.0429,0.8454,0.3348,0.1354,0.5298,24,1468,0,148,884649,0
2018-01-29,485,485,0,292,218,358,292,1835,2891,0,7663,0.1481,0.2334,0.6185,0.3474,0.3729,0.2797,128,12389,0,150,897366,2
2018-01-30,495,495,0,325,240,366,302,2103,2462,0,8759,0.1578,0.1848,0.6574,0.4145,0.2839,0.3016,164,13324,0,152,911194,2
2018-01-31,502,502,0,309,235,374,301,1572,2202,0,7501,0.1394,0.1953,0.6653,0.3297,0.3239,0.3464,166,11275,0,152,923040,2
2018-02-01,511,511,0,307,223,376,299,1290,2366,0,7384,0.1168,0.2143,0.6688,0.315,0.3508,0.3342,182,11040,0,152,934686,2
2018-02-02,516,516,0,325,252,388,317,1291,1874,0,6398,0.135,0.196,0.669,0.4006,0.3159,0.2834,101,9563,0,157,944733,18
2018-02-03,519,519,0,322,183,391,323,556,661,0,2118,0.1667,0.1982,0.6351,0.4941,0.2719,0.234,30,3335,0,157,948262,2
2018-02-04,518,518,0,268,138,391,323,283,215,0,791,0.2196,0.1668,0.6137,0.5064,0.2484,0.2452,23,1289,0,157,949628,4
2018-02-05,511,511,0,346,276,401,336,1145,4105,0,8334,0.0843,0.3022,0.6135,0.1679,0.6116,0.2205,179,13584,0,161,963928,50
2018-02-06,513,513,0,347,290,399,342,1168,3681,0,10670,0.0753,0.2372,0.6875,0.1405,0.5465,0.313,197,15519,0,163,963933,29
2018-02-07,515,515,0,339,285,394,337,935,3555,0,10217,0.0636,0.2417,0.6947,0.1258,0.5545,0.3197,201,14707,0,164,979191,34
2018-02-08,512,512,0,367,286,400,339,892,3539,0,8909,0.0669,0.2653,0.6678,0.1646,0.5483,0.2872,178,13340,0,165,993152,30
2018-02-09,514,514,0,352,273,403,338,723,2730,0,10207,0.0529,0.1999,0.7472,0.1832,0.4595,0.3573,214,13660,0,166,1007315,19
2018-02-10,515,515,0,319,178,406,338,196,376,0,2041,0.075,0.1439,0.7811,0.1968,0.3462,0.457,51,2613,0,166,1010084,2
2018-02-11,515,515,0,252,91,403,336,130,82,0,786,0.1303,0.0822,0.7876,0.3117,0.2232,0.4651,17,998,0,167,1011149,2
2018-02-12,521,521,0,334,266,404,333,620,3418,0,7674,0.0529,0.2918,0.6552,0.1131,0.6049,0.282,102,11712,0,167,1023245,28
2018-02-13,525,525,0,355,279,406,333,768,3398,0,9485,0.0563,0.2489,0.6948,0.1083,0.5637,0.328,199,13651,0,168,1037511,26
2018-02-14,526,526,0,337,286,401,332,881,3045,0,8716,0.0697,0.2409,0.6894,0.1337,0.5317,0.3346,157,12642,0,169,1050733,18
2018-02-15,533,533,0,367,283,406,335,559,2570,0,7374,0.0532,0.2447,0.7021,0.1297,0.5459,0.3245,131,10503,0,171,1061787,16
2018-02-16,541,541,0,354,283,410,337,680,1949,0,7935,0.0644,0.1845,0.7511,0.2385,0.3857,0.3758,136,10564,0,172,1072847,27
2018-02-17,542,542,0,349,176,411,339,217,526,0,1916,0.0816,0.1978,0.7206,0.243,0.4011,0.3559,51,2659,0,187,1075671,0
2018-02-18,542,542,0,238,89,413,344,76,60,0,1403,0.0494,0.039,0.9116,0.2134,0.1489,0.6376,26,1539,0,187,1077242,0
2018-02-19,545,545,0,287,134,414,342,226,137,0,1518,0.1201,0.0728,0.807,0.4029,0.1722,0.4249,33,1881,0,187,1079110,0
2018-02-20,548,548,0,356,270,415,340,413,3531,0,9862,0.0299,0.2558,0.7143,0.0753,0.6014,0.3234,164,13806,0,186,1093577,16
2018-02-21,549,549,0,366,277,416,338,619,3476,0,12715,0.0368,0.2068,0.7564,0.09,0.5244,0.3857,155,16810,0,186,1111038,7
2018-02-22,551,551,0,380,283,417,335,556,3480,0,11069,0.0368,0.2304,0.7328,0.1289,0.5258,0.3453,175,15105,0,185,1126779,20
2018-02-23,555,555,0,371,284,421,329,753,3509,0,13670,0.042,0.1957,0.7623,0.1227,0.4376,0.4398,208,17932,0,184,1145445,32
2018-02-24,557,557,0,353,214,424,332,134,563,0,4154,0.0276,0.1161,0.8563,0.1543,0.3419,0.5038,66,4851,0,184,1150579,8
2018-02-25,559,559,0,264,110,425,333,119,50,0,2138,0.0516,0.0217,0.9267,0.2152,0.1311,0.6537,47,2307,0,184,1152952,4
2018-02-26,559,559,0,368,266,427,337,445,3706,0,9636,0.0323,0.2688,0.6989,0.0807,0.6064,0.313,166,13787,0,184,1167320,18
2018-02-27,569,569,0,363,281,436,345,374,2838,0,10618,0.027,0.2052,0.7678,0.0903,0.5027,0.407,171,13830,0,185,1181770,14
2018-02-28,576,576,0,365,281,445,354,451,2668,0,10038,0.0343,0.2028,0.7629,0.0896,0.5027,0.4077,177,13157,0,184,1195571,27
2018-03-01,592,592,0,384,309,461,368,553,2831,0,11990,0.036,0.1841,0.7799,0.1145,0.4366,0.4489,185,15374,0,186,1211677,31
2018-03-02,602,602,0,414,319,475,373,531,2868,0,12008,0.0345,0.1861,0.7794,0.0999,0.4478,0.4523,200,15407,0,191,1227865,22
2018-03-03,607,607,0,364,214,478,377,219,609,0,3433,0.0514,0.1429,0.8057,0.159,0.3846,0.4564,40,4261,0,192,1232335,36
2018-03-04,610,610,0,299,127,482,381,102,140,0,1788,0.0502,0.069,0.8808,0.1816,0.1922,0.6262,12,2030,0,192,1234410,0
2018-03-05,606,606,0,413,329,479,393,571,5312,0,11422,0.033,0.307,0.66,0.1023,0.6158,0.2819,262,17305,0,194,1252625,38
2018-03-06,608,608,0,422,341,479,392,659,4676,0,12363,0.0372,0.2642,0.6986,0.1046,0.5706,0.3248,251,17698,0,194,1271164,46
2018-03-07,614,614,0,400,342,480,395,789,5348,0,12351,0.0427,0.2893,0.6681,0.1065,0.5808,0.3127,303,18488,0,195,1290610,48
2018-03-08,615,615,0,424,338,485,396,789,5192,0,11826,0.0443,0.2916,0.6641,0.1266,0.5704,0.303,306,17807,0,195,1309235,45
2018-03-09,622,622,0,426,334,488,395,1097,5199,0,13737,0.0548,0.2595,0.6857,0.1733,0.4824,0.3443,239,20033,0,195,1326037,22
2018-03-10,623,623,0,385,211,492,397,139,429,0,2525,0.0449,0.1387,0.8164,0.2164,0.3055,0.4781,38,3093,0,196,1328895,3
2018-03-11,624,624,0,289,114,493,399,96,328,0,1595,0.0475,0.1625,0.79,0.2085,0.2727,0.5188,28,2019,0,196,1330838,6
2018-03-12,625,625,0,412,317,495,395,683,4385,0,12634,0.0386,0.2477,0.7137,0.0855,0.5607,0.3539,200,17702,0,202,1349210,9
2018-03-13,637,637,0,450,329,502,392,1156,3845,0,12210,0.0672,0.2234,0.7094,0.148,0.4937,0.3583,204,17211,0,207,1367711,20
2018-03-14,643,643,0,451,337,510,395,838,3703,0,11295,0.0529,0.2338,0.7132,0.1434,0.5158,0.3408,171,15836,0,207,1384101,16
2018-03-15,648,648,0,406,320,509,396,785,4146,0,11745,0.0471,0.2486,0.7043,0.1032,0.5243,0.3725,178,16676,0,210,1401657,23
2018-03-16,656,656,0,444,331,516,395,556,3605,0,9728,0.04,0.2596,0.7004,0.1348,0.5161,0.3491,114,13889,0,209,1416229,15
2018-03-17,662,662,0,364,162,518,395,77,186,0,1479,0.0442,0.1068,0.849,0.227,0.2664,0.5066,50,1742,0,212,1418154,1
2018-03-18,665,665,0,289,114,524,399,123,227,0,1742,0.0588,0.1085,0.8327,0.184,0.198,0.618,41,2092,0,212,1420337,0
2018-03-19,666,666,0,450,335,525,404,560,4830,0,10649,0.0349,0.3011,0.6639,0.0885,0.5992,0.3123,151,16039,0,213,1437323,14
2018-03-20,674,674,0,430,346,526,410,564,4903,0,12722,0.031,0.2696,0.6994,0.0898,0.5413,0.3689,207,18189,0,214,1453694,23
2018-03-21,681,681,0,431,337,528,406,754,4863,0,11976,0.0429,0.2764,0.6807,0.1007,0.5447,0.3546,228,17593,0,215,1471242,28
2018-03-22,687,687,0,460,335,530,409,657,6086,0,12151,0.0348,0.3221,0.6431,0.0884,0.5904,0.3212,215,18894,0,215,1490657,22
2018-03-23,689,689,0,458,337,531,417,633,3434,0,11684,0.0402,0.218,0.7418,0.1161,0.4739,0.4101,158,15751,0,217,1506678,14
2018-03-24,693,693,0,359,185,538,419,163,289,0,2453,0.0561,0.0995,0.8444,0.1799,0.2587,0.5614,24,2905,0,218,1508622,2
2018-03-25,693,693,0,306,114,532,417,84,84,0,1445,0.0521,0.0521,0.8958,0.2137,0.1675,0.6188,19,1613,0,219,1510008,0
2018-03-26,699,699,0,459,329,536,417,784,4652,0,11159,0.0472,0.2803,0.6724,0.0955,0.5705,0.334,189,16595,0,227,1527227,8
2018-03-27,713,713,0,470,345,550,417,831,3979,0,13100,0.0464,0.2222,0.7314,0.1285,0.4636,0.4079,221,17910,0,228,1546518,24
2018-03-28,717,717,0,439,336,553,415,660,4201,0,13049,0.0369,0.2346,0.7286,0.1062,0.4697,0.4242,175,17910,0,228,1567924,8
2018-03-29,716,716,0,474,331,555,417,674,3371,0,12076,0.0418,0.2091,0.7491,0.1078,0.4687,0.4235,158,16121,0,228,1586001,0
2018-03-30,713,713,0,464,369,560,435,757,3564,0,11897,0.0467,0.2198,0.7336,0.1391,0.4478,0.4131,217,16218,0,228,1602833,0
2018-03-31,720,720,0,400,194,567,443,78,657,0,3784,0.0173,0.1454,0.8374,0.1377,0.246,0.6164,93,4519,0,229,1607344,0
2018-04-01,722,722,0,336,134,568,449,61,97,0,2279,0.025,0.0398,0.9352,0.1999,0.1722,0.6279,36,2437,0,230,1609333,0
2018-04-02,725,725,0,483,407,564,475,806,5363,0,13377,0.0412,0.2744,0.6844,0.0938,0.5771,0.329,196,19546,0,234,1627252,1
2018-04-03,725,725,0,486,413,562,477,878,6144,0,13389,0.043,0.301,0.656,0.0848,0.5936,0.3216,214,20411,0,238,1648122,3
2018-04-04,726,726,0,473,406,556,474,766,5291,0,11693,0.0432,0.2981,0.6588,0.09,0.5842,0.3258,222,17750,0,238,1666054,1
2018-04-05,727,727,0,498,408,555,478,885,5361,0,13194,0.0455,0.2758,0.6787,0.1005,0.5341,0.3654,256,19440,0,240,1685232,4
2018-04-06,727,727,0,496,402,557,477,654,4681,0,13366,0.035,0.2503,0.7147,0.1011,0.4936,0.4053,194,18701,0,240,1703838,3
2018-04-07,727,727,0,404,189,558,473,124,264,0,1762,0.0577,0.1228,0.8195,0.2328,0.2894,0.4778,43,2150,0,240,1704676,0
2018-04-08,727,727,0,338,150,556,472,176,184,0,1114,0.1194,0.1248,0.7558,0.3683,0.2167,0.415,23,1474,0,241,1705657,1
2018-04-09,729,729,0,446,379,558,461,607,4024,0,11142,0.0385,0.2551,0.7064,0.0927,0.5594,0.3479,178,15773,0,244,1722191,1
2018-04-10,736,736,0,512,412,559,469,625,4489,0,14415,0.032,0.2299,0.7381,0.0958,0.5179,0.3863,226,19529,0,253,1742810,2
2018-04-11,737,737,0,483,406,565,471,716,4703,0,13137,0.0386,0.2534,0.708,0.106,0.5231,0.3709,240,18556,0,255,1762159,16
2018-04-12,737,737,0,474,400,564,468,534,5167,0,12094,0.03,0.2904,0.6796,0.0785,0.5664,0.3551,225,17795,0,256,1778331,1
2018-04-13,740,740,0,476,390,562,465,693,3779,0,12564,0.0407,0.2218,0.7375,0.1159,0.4853,0.3988,245,17036,0,256,1796066,3
2018-04-14,742,742,0,395,197,565,468,190,257,0,2647,0.0614,0.0831,0.8555,0.2321,0.2182,0.5497,63,3094,0,256,1798548,0
2018-04-15,742,742,0,346,126,568,469,103,202,0,1259,0.0659,0.1292,0.805,0.2388,0.256,0.5052,46,1564,0,258,1800102,0
2018-04-16,746,746,0,467,385,565,472,617,4801,0,13588,0.0325,0.2526,0.7149,0.0792,0.5442,0.3766,227,19006,0,260,1819980,0
2018-04-17,760,760,0,497,409,556,470,667,5411,0,13601,0.0339,0.275,0.6911,0.081,0.5456,0.3734,216,19679,0,261,1840629,2
2018-04-18,769,769,0,482,413,554,473,797,4470,0,13847,0.0417,0.2339,0.7244,0.1206,0.4905,0.3889,251,19114,0,261,1860197,0
2018-04-19,774,774,0,521,417,574,482,666,5622,0,15155,0.0311,0.2622,0.7068,0.1151,0.525,0.3599,288,21443,0,261,1881051,1
2018-04-20,779,779,0,486,398,575,489,301,3567,0,13819,0.017,0.2017,0.7813,0.0815,0.4653,0.4531,202,17687,0,263,1877830,1
2018-04-21,781,781,0,393,194,574,486,115,477,0,2423,0.0381,0.1582,0.8036,0.229,0.2699,0.5012,53,3015,0,263,1876233,0
2018-04-22,780,780,0,333,141,575,485,61,178,0,1525,0.0346,0.1009,0.8645,0.2117,0.1972,0.5911,35,1764,0,263,1877132,0
2018-04-23,782,782,0,516,400,583,485,628,3524,0,11801,0.0394,0.2209,0.7397,0.1254,0.4873,0.3873,238,15953,0,265,1895224,1
2018-04-24,787,787,0,501,403,581,483,653,3441,0,12123,0.0403,0.2122,0.7475,0.1224,0.4807,0.3969,233,16217,0,267,1912328,2
2018-04-25,789,789,0,498,398,589,484,515,3330,0,13166,0.0303,0.1958,0.774,0.1107,0.4492,0.4401,199,17011,0,269,1929927,0
2018-04-26,792,792,0,493,378,587,474,573,3565,0,10793,0.0384,0.2388,0.7229,0.107,0.4964,0.3966,192,14931,0,269,1945357,0
2018-04-27,802,802,0,498,380,595,473,577,3167,0,11316,0.0383,0.2103,0.7514,0.149,0.4626,0.3884,182,15060,0,269,1960644,2
2018-04-28,803,803,0,428,197,597,475,89,489,0,2045,0.0339,0.1864,0.7796,0.1684,0.3207,0.511,48,2623,0,270,1963186,0
2018-04-29,803,803,0,329,124,596,477,100,133,0,1380,0.062,0.0825,0.8555,0.2469,0.1614,0.5917,48,1613,0,271,1964768,0
2018-04-30,803,803,0,530,378,602,480,497,4731,0,10671,0.0313,0.2976,0.6712,0.1008,0.5635,0.3357,216,15899,0,275,1981615,0
2018-05-01,810,810,0,534,395,606,486,600,3908,0,11089,0.0385,0.2506,0.711,0.1138,0.518,0.3683,223,15597,0,274,1999017,0
2018-05-02,812,812,0,517,414,607,496,922,4346,0,12297,0.0525,0.2474,0.7001,0.1801,0.4579,0.362,241,17565,0,276,2017456,4
2018-05-03,815,815,0,518,389,605,492,455,3965,0,12157,0.0274,0.2392,0.7334,0.1039,0.5111,0.385,238,16577,0,277,2034989,2
2018-05-04,818,818,0,525,393,616,505,489,3110,0,14026,0.0277,0.1765,0.7958,0.1397,0.412,0.4483,246,17625,0,276,2053116,1
2018-05-05,816,816,0,439,227,614,509,109,344,0,3119,0.0305,0.0963,0.8732,0.2009,0.243,0.556,48,3572,0,277,2056409,0
